Cleveland St,0.433
Montana St,0.433
Neb Omaha,0.433
Beth-Cook,0.431
SIU Edward,0.431
Fordham,0.429
Mass Lowell,0.429
Arkansas St,0.428
Morehead St,0.428
TX El Paso,0.428
Brown,0.426
Florida Intl,0.426
IUPUI,0.426
McNeese St,0.426
Samford,0.425
Siena,0.423
UC Riverside,0.421
Kennesaw St,0.42
W Illinois,0.418
WI-Grn Bay,0.417
Cal Poly,0.416
Chattanooga,0.416
Ark Pine Bl,0.415
TN Martin,0.415
AR Lit Rock,0.414
Lafayette,0.413
N Arizona,0.413
N Hampshire,0.413
Sac State,0.412
San Jose St,0.412
VA Military,0.412
Columbia,0.411
Southern,0.411
Pepperdine,0.41
Detroit,0.408
Presbyterian,0.407
Binghamton,0.406
Sacred Hrt,0.404
Loyola-MD,0.403
Charlotte,0.402
Marist,0.402
Stetson,0.401
TX A&M-CC,0.401
Morgan St,0.4
Rice,0.4
Youngs St,0.4
Jackson St,0.394
S Car State,0.392
Florida A&M,0.39
Alabama St,0.386
Chicago St,0.386
Dartmouth,0.386
American,0.385
Longwood,0.385
Maine,0.385
Howard,0.382
Cal St Nrdge,0.378
Bryant,0.375
NW State,0.371
Coppin State,0.37
SC Upstate,0.367
Houston Bap,0.366
Incar Word,0.365
Maryland ES,0.365
Alcorn State,0.364
Miss Val St,0.351
Alab A&M,0.333
Delaware St,
