Team One,Team Two,Winner,Team One PPG,Team One OE,Team One DE,Team One FGE,Team One OR,Team One RPI,Team Two PPG,Team Two OE,Team Two DE,Team Two FGE,Team Two OR,Team Two RPI
Middle Tenn.,Butler,2,74.1,1.096,0.944,0.541,0.284,0.595,76.3,1.106,0.998,0.546,0.255,0.628
Cincinnati,UCLA,2,74.3,1.103,0.911,0.52,0.344,0.627,89.8,1.189,1,0.598,0.277,0.627
Wichita St.,Kentucky,2,80.8,1.13,0.874,0.541,0.321,0.599,84.9,1.113,0.937,0.529,0.317,0.658
Kansas,Purdue,1,83.2,1.133,0.979,0.561,0.332,0.656,79.7,1.107,0.949,0.557,0.291,0.617
Oregon,Michigan,1,78.5,1.112,0.936,0.555,0.306,0.648,75,1.145,1.013,0.57,0.224,0.608
N. Carolina,Butler,1,83.9,1.13,0.954,0.517,0.402,0.668,76.3,1.106,0.998,0.546,0.255,0.628
UCLA,Kentucky,2,89.8,1.189,1,0.598,0.277,0.627,84.9,1.113,0.937,0.529,0.317,0.658
Kansas,Oregon,2,83.2,1.133,0.979,0.561,0.332,0.656,78.5,1.112,0.936,0.555,0.306,0.648
N. Carolina,Kentucky,1,83.9,1.13,0.954,0.517,0.402,0.668,84.9,1.113,0.937,0.529,0.317,0.658
Gonzaga,N. Carolina,2,82.6,1.141,0.849,0.567,0.28,0.649,83.9,1.13,0.954,0.517,0.402,0.668
Kansas,Austin Peay,1,80.2,1.12,0.943,0.557,0.304,0.672,74.9,1.03,1.072,0.513,0.302,0.487
Colorado,UConn,2,75.2,1.029,0.969,0.484,0.334,0.579,73.1,1.059,0.92,0.516,0.265,0.588
Maryland,S Dakota St,1,75.2,1.088,0.966,0.553,0.265,0.622,75.8,1.08,0.985,0.513,0.298,0.587
California,Hawaii,2,74.9,1.057,0.95,0.522,0.306,0.606,76.6,1.052,0.913,0.519,0.29,0.559
Arizona,Wichita St,2,80.4,1.103,0.944,0.536,0.324,0.591,72.3,1.055,0.863,0.489,0.3,0.586
Miami (Fla),Buffalo,1,75.2,1.11,0.994,0.542,0.289,0.639,76.5,1.024,1.018,0.496,0.302,0.546
Iowa,Temple,1,77.6,1.09,0.973,0.513,0.297,0.594,68.7,1,0.984,0.47,0.272,0.566
Villanova,UNC Asheville,1,78,1.134,0.925,0.561,0.28,0.67,73.9,1.01,0.951,0.496,0.291,0.522
Oregon,Holy Cross,1,78.4,1.103,0.971,0.523,0.32,0.656,64.8,0.964,1.04,0.479,0.206,0.457
Saint Joseph's,Cincinnati,1,77.2,1.07,0.971,0.512,0.254,0.61,73.3,1.065,0.92,0.493,0.359,0.574
Baylor,Yale,2,76.3,1.102,1.01,0.516,0.393,0.592,74.3,1.08,0.933,0.522,0.383,0.584
Duke,UNCW,1,81.1,1.151,1.028,0.537,0.312,0.616,78.3,1.072,0.992,0.512,0.295,0.576
Texas,UNI,2,71.4,1.04,0.995,0.494,0.299,0.588,68.3,1.041,0.975,0.532,0.148,0.567
Texas A&M,Green Bay,1,76.4,1.071,0.931,0.512,0.338,0.61,82.7,1.038,1.016,0.498,0.294,0.53
Kansas,UConn,1,80.2,1.12,0.943,0.557,0.304,0.672,73.1,1.059,0.92,0.516,0.265,0.588
Maryland,Hawaii,1,75.2,1.088,0.966,0.553,0.265,0.622,76.6,1.052,0.913,0.519,0.29,0.559
Wichita St.,Miami (Fla),2,72.3,1.055,0.863,0.489,0.3,0.586,75.2,1.11,0.994,0.542,0.289,0.639
Iowa,Villanova,2,77.6,1.09,0.973,0.513,0.297,0.594,78,1.134,0.925,0.561,0.28,0.67
Oregon,St. Joeseph's,1,78.4,1.103,0.971,0.523,0.32,0.656,77.2,1.07,0.971,0.512,0.254,0.61
Yale,Duke,2,74.3,1.08,0.933,0.522,0.383,0.584,81.1,1.151,1.028,0.537,0.312,0.616
UNI,Texas A&M,2,68.3,1.041,0.975,0.532,0.148,0.567,76.4,1.071,0.931,0.512,0.338,0.61
Kansas,Maryland,1,80.2,1.12,0.943,0.557,0.304,0.672,75.2,1.088,0.966,0.553,0.265,0.622
Miami (Fla),Villanova,2,75.2,1.11,0.994,0.542,0.289,0.639,78,1.134,0.925,0.561,0.28,0.67
Oregon,Duke,1,78.4,1.103,0.971,0.523,0.32,0.656,81.1,1.151,1.028,0.537,0.312,0.616
Texas A&M,Oklahoma,2,76.4,1.071,0.931,0.512,0.338,0.61,79.7,1.088,0.97,0.543,0.299,0.651
Kansas,Villanova,2,80.2,1.12,0.943,0.557,0.304,0.672,78,1.134,0.925,0.561,0.28,0.67
Oregon,Oklahoma,2,78.4,1.103,0.971,0.523,0.32,0.656,79.7,1.088,0.97,0.543,0.299,0.651
North Carolina,FGCU,1,82.8,1.115,0.976,0.526,0.4,0.655,76,1.09,0.995,0.515,0.296,0.481
Kentucky,Stony Brook,1,79.5,1.07,0.965,0.535,0.361,0.628,74.9,0.949,0.949,0.522,0.342,0.568
Notre Dame,Michigan,1,75.1,1.101,1.06,0.54,0.309,0.601,73.9,1.093,1.017,0.545,0.229,0.571
West Virginia,SFA,2,78.5,1.103,0.921,0.498,0.413,0.624,63.2,0.94,1.036,0.454,0.336,0.462
Wisconsin,Pittsburgh,1,67.8,1.031,0.967,0.485,0.305,0.588,74.8,0.916,0.997,0.511,0.35,0.575
Xavier,Weber St,1,80.5,1.137,0.949,0.514,0.324,0.634,73.8,1.067,0.973,0.545,0.253,0.534
Virginia,Hampton,1,71,1.088,0.957,0.548,0.284,0.657,74,1.022,0.993,0.467,0.325,0.504
Texas Tech,Butler,2,72,1.067,1.011,0.5,0.292,0.578,79.9,1.085,0.985,0.526,0.296,0.575
Purdue,Little Rock,2,77.9,1.16,0.927,0.536,0.325,0.61,70.2,0.9,0.924,0.519,0.256,0.585
Iowa St,Iona,1,81.8,1.013,1.02,0.571,0.248,0.608,79.6,1.076,1,0.538,0.281,0.548
Seton Hall,Gonzaga,2,74.2,1.081,0.932,0.498,0.337,0.606,78.7,1.172,0.944,0.552,0.301,0.588
Utah,Fresno St,1,76.1,1.06,0.996,0.551,0.285,0.63,74.5,1.076,0.983,0.484,0.28,0.567
Dayton,Syracuse,2,72.5,1.05,0.93,0.516,0.263,0.597,70,1.002,0.968,0.501,0.319,0.585
Michigan St.,Middle Tenn,2,79.8,1.154,0.929,0.563,0.36,0.623,72.2,1.062,0.977,0.517,0.273,0.561
North Carolina,Providence,1,82.8,1.115,0.976,0.526,0.4,0.655,73.7,1.016,0.968,0.48,0.284,0.588
Indiana,Kentucky,1,82.6,1.169,0.989,0.587,0.36,0.609,79.5,1.07,0.965,0.535,0.361,0.628
Notre Dame,SFA,1,75.1,1.101,1.06,0.54,0.309,0.601,63.2,0.94,1.036,0.454,0.336,0.462
Wisconsin,Xavier,1,67.8,1.031,0.967,0.485,0.305,0.588,80.5,1.137,0.949,0.514,0.324,0.634
Virginia,Butler,1,71,1.088,0.957,0.548,0.284,0.657,79.9,1.085,0.985,0.526,0.296,0.575
Little Rock,Iowa St,2,70.2,0.9,0.924,0.519,0.256,0.585,81.8,1.013,1.02,0.571,0.248,0.608
Gonzaga,Utah,1,78.7,1.172,0.944,0.552,0.301,0.588,76.1,1.06,0.996,0.551,0.285,0.63
Syracuse,Middle Tenn,1,70,1.002,0.968,0.501,0.319,0.585,72.2,1.062,0.977,0.517,0.273,0.561
North Carolina,Indiana,1,82.8,1.115,0.976,0.526,0.4,0.655,82.6,1.169,0.989,0.587,0.36,0.609
Notre Dame,Wisconsin,1,75.1,1.101,1.06,0.54,0.309,0.601,67.8,1.031,0.967,0.485,0.305,0.588
Virginia,Iowa St,1,71,1.088,0.957,0.548,0.284,0.657,81.8,1.013,1.02,0.571,0.248,0.608
Gonzaga,Syracuse,2,78.7,1.172,0.944,0.552,0.301,0.588,70,1.002,0.968,0.501,0.319,0.585
North Carolina,Notre Dame,1,82.8,1.115,0.976,0.526,0.4,0.655,75.1,1.101,1.06,0.54,0.309,0.601
Virginia,Syracuse,2,71,1.088,0.957,0.548,0.284,0.657,70,1.002,0.968,0.501,0.319,0.585
Villanova,Oklahoma,1,78,1.134,0.925,0.561,0.28,0.67,79.7,1.088,0.97,0.543,0.299,0.651
North Carolina,Syracuse,1,82.8,1.115,0.976,0.526,0.4,0.655,70,1.002,0.968,0.501,0.319,0.585
North Carolina,Villanova,2,82.8,1.115,0.976,0.526,0.4,0.655,78,1.134,0.925,0.561,0.28,0.67
