Ark Pine Bl,0.23
CS Fullerton,0.23
N Florida,0.23
Chicago St,0.23
Belmont,0.23
Fairfield,0.23
New Mexico,0.23
Utah,0.23
Presbyterian,0.23
LA Monroe,0.23
NC-Asheville,0.23
S Dakota St,0.23
N Iowa,0.23
TN State,0.23
St Johns,0.23
Hartford,0.23
Santa Clara,0.23
U Penn,0.23
Neb Omaha,0.23
Sac State,0.23
Iona,0.22
WI-Grn Bay,0.22
Dartmouth,0.22
Cal Poly,0.22
UC Davis,0.22
VA Tech,0.22
Cornell,0.22
Samford,0.22
Richmond,0.22
Wash State,0.22
St Josephs,0.22
S Alabama,0.22
Stetson,0.21
Davidson,0.21
Lehigh,0.21
American,0.21
Longwood,0.21
Cal St Nrdge,0.21
Liberty,0.21
N Dakota St,0.21
Evansville,0.21
E Washingtn,0.21
BYU,0.21
S Utah,0.21
Cleveland St,0.20
Drake,0.20
Princeton,0.20
Pittsburgh,0.20
Marshall,0.20
Marist,0.20
Elon,0.20
Creighton,0.20
Campbell,0.20
Loyola-Chi,0.20
Wm & Mary,0.20
San Diego,0.20
Coppin State,0.19
Lafayette,0.19
Ohio,0.19
Mt St Marys,0.19
S Mississippi,0.19
UMKC,0.18
Idaho State,0.18
TX El Paso,0.18
Weber State,0.17
North Dakota,0.17
Holy Cross,0.17
Portland,0.17
Wyoming,0.17
Fordham,0.17
W Illinois,0.16
